A1,5/27/18
A1,6/11/19
A1,4/24/20
A1,4/25/21
A1,5/13/22
A2,5/2/18
A2,6/10/19
A2,4/18/20
A2,4/29/21
A2,4/10/22
A3,7/9/18
A3,6/22/19
A3,5/9/20
A3,5/6/21
A4,7/6/18
A4,7/20/19
A4,7/7/20
A4,5/31/21
A4,7/14/22
A5,8/1/18
A5,7/15/19
A5,7/1/20
A5,5/29/21
A5,7/9/22
A6,7/24/18
A6,8/19/19
A6,8/1/20
A6,7/29/21
A6,9/3/22
A7,7/13/18
A7,7/19/19
A7,7/21/20
A7,7/5/21
A7,7/14/22
